employee_id,district,home_lat,home_lon,age_group,gender,income_group,nearest_stop_name,Home-Stop_distance_m,public_travel_time,public_distance_km,num_transfers,driving_time_min,driving_distance_km
EMP0001,Niendorf,53.61175471087087,9.916954980183586,20-29,female,low,Steinwiesenweg,303,80.6,21.2,3.0,26.0,14.16
EMP0002,Langenhorn,53.65408062843518,9.997842113194482,40-49,male,high,Foorthkamp,735,48.3,7.59,1.0,16.1,6.52
EMP0003,Quickborn,53.715973034140994,9.923731839511126,20-29,male,high,"Quickborn, Elsenseestraße",1486,84.4,21.65,2.0,21.6,11.87
EMP0004,Wandsbek,53.57063633864135,10.068936874321077,50-59,female,high,U Wandsbek Markt,161,74.0,24.57,2.0,42.1,17.96
EMP0005,Norderstedt-Mitte,53.69163948360024,9.982537997395195,50-59,female,high,"Garstedt, Buschweg",286,33.9,7.87,0.0,13.7,5.89
EMP0006,Ahrensburg,53.676643206593816,10.260952410184231,30-39,female,mid,"Ahrensburg, Jochim-Klindt-Straße",267,89.0,22.98,2.0,33.7,19.68
EMP0007,Niendorf,53.61559509928144,9.97044407041523,60+,male,mid,Spreenende,564,90.2,21.27,2.0,33.0,16.55
EMP0008,Niendorf,53.61929106372929,9.957271847554578,60+,male,mid,U Niendorf Markt,438,66.3,16.16,1.0,30.7,12.36
EMP0009,Norderstedt-Mitte,53.69513869908222,9.98851812265538,20-29,female,high,Richtweg,135,30.8,7.28,1.0,13.8,5.64
EMP0010,Langenhorn,53.63765612242609,10.006168462958138,30-39,female,high,Flughafenstraße,612,52.3,10.8,1.0,19.1,8.09
EMP0011,Langenhorn,53.64985093868498,9.9971336006148,40-49,female,mid,Wrangelkoppel,210,41.6,8.39,2.0,16.8,6.85
EMP0012,Pinneberg,53.66368388374837,9.780783630095542,20-29,male,mid,"Pinneberg, Prisdorfer Straße (Mitte)",750,88.2,30.15,1.0,42.0,27.07
EMP0013,Wandsbek,53.57261386054747,10.062289336187066,30-39,male,mid,U S Wandsbeker Chaussee,277,63.6,19.33,1.0,42.6,16.46
EMP0014,Quickborn,53.72369541666538,9.898111129491436,30-39,female,mid,Quickborn Süd,836,66.7,20.57,2.0,25.1,12.75
EMP0015,Langenhorn,53.6529654403052,9.993444464149045,60+,female,high,Ermlandweg,596,60.1,13.5,1.0,17.9,7.08
EMP0016,Norderstedt-Garstedt,53.67764165756186,9.959980718103308,30-39,male,low,"Garstedt, Ohlenhoff",679,52.2,9.7,0.0,17.3,7.07
EMP0017,Ohlsdorf,53.60843302712174,10.028210442716063,50-59,female,mid,S Rübenkamp,448,65.5,16.98,1.0,23.6,11.57
EMP0018,Norderstedt-Mitte,53.69854690029888,9.999553529294294,30-39,male,high,"Garstedt, Buchenweg (Ost)",461,37.0,8.53,1.0,11.9,5.71
EMP0019,Quickborn,53.74496586682971,9.935212684134852,20-29,male,mid,"Quickborn-Heide, Max-Weber-Straße",119,66.5,13.81,2.0,24.6,14.17
EMP0020,Poppenbüttel,53.639396437919785,10.055606586106325,50-59,male,mid,Am Gehöckel,125,39.9,9.73,1.0,15.3,7.95
EMP0021,Niendorf,53.62969856893055,9.953737609433972,20-29,female,mid,Joachim-Mähl-Straße,372,74.0,18.69,2.0,25.5,11.9
EMP0022,Langenhorn,53.62606828838762,10.015003401268396,20-29,male,low,Ratsmühlendamm,236,63.8,16.79,1.0,18.8,9.37
EMP0023,Ahrensburg,53.67717273158228,10.235938599021992,30-39,male,low,"Ahrensburg, Schulstraße",143,65.3,19.9,1.0,25.8,17.11
EMP0024,Hamburg-Mitte,53.56685082827609,10.005609337419996,40-49,female,low,Böttgerstraße,920,83.5,21.56,2.0,37.4,17.43
EMP0025,Niendorf,53.62688668524467,9.96140366698961,30-39,male,low,Helvetierweg,147,65.1,15.63,1.0,26.3,13.28
EMP0026,Norderstedt-Garstedt,53.681706250785396,9.99023857752316,20-29,female,low,"Garstedt, Europaallee",262,24.5,5.42,0.0,10.8,4.33
EMP0027,Fuhlsbüttel,53.62439550531197,10.005909764719235,30-39,male,mid,Röntgenstraße,350,71.3,12.73,1.0,21.9,10.87
EMP0028,Norderstedt-Mitte,53.69781047200488,9.990079518263126,30-39,male,low,Richtweg,314,28.2,7.91,1.0,14.2,6.0
EMP0029,Norderstedt-Garstedt,53.67747937184597,9.963115937619246,20-29,female,high,"Garstedt, Alte Dorfstraße",482,45.0,9.16,0.0,15.7,6.54
EMP0030,Wandsbek,53.56564023392069,10.066105315542117,40-49,female,low,Claudiusstraße,470,68.5,20.39,1.0,45.4,17.26
EMP0031,Eimsbüttel,53.57010124384525,9.954047879617573,20-29,male,mid,Fruchtallee (Hamburg-Haus),118,83.7,24.27,2.0,38.1,19.97
EMP0032,Ahrensburg,53.67698381160626,10.22201645180113,30-39,female,high,"Ahrensburg, Schulzentrum Am Heimgarten",320,78.3,21.85,2.0,27.5,17.53
EMP0033,Norderstedt-Harksheide,53.7023278293147,9.977038783467004,40-49,female,low,"Garstedt, Rantzauer Forstweg (Museen)",96,39.1,9.09,0.0,17.6,8.03
EMP0034,Langenhorn,53.63693718179316,10.029146045903792,40-49,female,mid,Kurzer Kamp,77,53.4,14.4,1.0,13.3,7.42
EMP0035,Fuhlsbüttel,53.616397565624084,9.995471001082734,30-39,female,high,Heselstücken,485,72.1,13.79,1.0,34.8,17.5
EMP0036,Norderstedt-Garstedt,53.68390725026089,9.989535062971914,30-39,male,mid,Garstedt,390,27.0,5.61,0.0,11.5,4.62
EMP0037,Norderstedt-Mitte,53.70295323261967,9.979254221767524,30-39,male,low,"Garstedt, Rantzauer Forstweg (Museen)",281,38.4,9.03,0.0,16.8,7.85
